西暦,和暦,財源,総数(千円),幼稚園(千円),小学校(千円),中学校(千円),特別支援学校(千円),高等学校_全日制(千円),高等学校_定時制(千円),高等学校_通信制(千円),専修学校(千円)
2009年度,平成21年度,合計,278689596,5065986,127774835,69296435,24561453,46893281,4056520,438850,602236
2010年度,平成22年度,合計,279369015,4978594,125647834,69270172,25109960,49672686,3534088,593094,562587
2011年度,平成23年度,合計,267637909,5041735,121246498,67075839,21710811,48341418,3131224,492056,598328
2012年度,平成24年度,合計,264296864,3769933,116563428,67985682,21058639,50559128,3263553,484148,612353
2013年度,平成25年度,合計,258837865,3244217,113222390,64784094,21109971,52370926,3059268,455349,591650
2013年度,平成25年度,国庫補助金,34688132,10786,19846832,11605772,2791239,432376,1127,-,-
2013年度,平成25年度,府支出金,147322987,4935,56453744,33491955,17368276,37095706,2191185,455349,261837
2013年度,平成25年度,市町村支出金,63665996,3214755,31841622,16568550,547456,10296844,866956,-,329813
2013年度,平成25年度,地方債,13156900,13741,5076342,3117817,403000,4546000,-,-,-
2013年度,平成25年度,公費に組み入れられた寄付金,3850,-,3850,-,-,-,-,-,-
