項目,2011年度(人),2012年度(人),2013年度(人),2014年度(人),2015年度(人)
京都文化博物館,282107,347517,357368,493728,456529
京都文化博物館_総合展示,56776,76799,110038,86787,88560
京都文化博物館_総合展示_大人,16441,21490,40305,26895,23416
京都文化博物館_総合展示_大・高生,1626,1885,2854,2824,2493
京都文化博物館_総合展示_中・小生,…,…,…,…,…
京都文化博物館_総合展示_無料,38709,53424,66879,57068,62651
京都文化博物館_特別展,225331,270718,247330,406941,367969
京都文化博物館_特別展_大人,116310,132663,147747,263468,232222
京都文化博物館_特別展_大・高生,8090,13423,9808,15634,11980
京都文化博物館_特別展_中・小生,2024,3076,6121,12579,9568
京都文化博物館_特別展_無料,98907,121556,83654,115260,114199
堂本印象美術館,14861,14606,29563,30249,35927
堂本印象美術館_大人,13799,13838,27317,28334,34813
堂本印象美術館_大・高生,905,555,1357,1001,860
堂本印象美術館_中・小生,157,213,889,914,254
陶板名画の庭,42492,48380,43523,45640,62155
陶板名画の庭_大人,38273,44331,39046,40471,53881
陶板名画の庭_中学生以下,4219,4049,4477,5169,8274
