西暦,和暦,資料館,所蔵数(点),所蔵数_考古資料(点),所蔵数_民俗資料(点),所蔵数_歴史資料(点),参考図書(点),入館者数(人)
2011年度,平成23年度,山城郷土資料館,46353,7901,3634,34818,35634,13580
2012年度,平成24年度,山城郷土資料館,48572,7901,3666,37005,36638,14318
2013年度,平成25年度,山城郷土資料館,51010,7901,4163,38946,37568,16741
2014年度,平成26年度,山城郷土資料館,52161,7903,4454,39804,38493,18536
2015年度,平成27年度,山城郷土資料館,52507,7903,4602,40002,39277,18708
2011年度,平成23年度,丹後郷土資料館,111275,10235,6942,94098,32449,10258
2012年度,平成24年度,丹後郷土資料館,111350,10235,6952,94163,33186,10352
2013年度,平成25年度,丹後郷土資料館,111654,10235,7137,94282,33897,13214
2014年度,平成26年度,丹後郷土資料館,111682,10235,7155,94292,34541,11223
2015年度,平成27年度,丹後郷土資料館,111683,10235,7156,94292,35435,15003
