西暦,和暦,地域コード,地域,図書館数(館),蔵書数(冊),利用状況_登録者数(人),利用状況_貸出冊数(冊),利用状況_団体貸出_団体数(団体),利用状況_団体貸出_貸出冊数(冊)
2011年度,平成23年度,26000,京都府,65,6637719,1074314,14704359,2189,409493
2012年度,平成24年度,26000,京都府,65,6765866,1115044,14301955,2145,446257
2013年度,平成25年度,26000,京都府,64,6862286,1091293,14008017,2219,377263
2014年度,平成26年度,26000,京都府,64,7036005,1081268,14050336,1972,386706
2015年度,平成27年度,26000,京都府,66,7053389,1091199,14455972,1870,399558
2015年度,平成27年度,-,京都府立計,2,1294262,111097,202015,9,30758
2015年度,平成27年度,26100,京都市,18,1795478,425128,7284754,347,46516
2015年度,平成27年度,26201,福知山市,4,263046,40869,630873,127,10272
2015年度,平成27年度,26202,舞鶴市,5,256080,40039,372463,233,29007
2015年度,平成27年度,26203,綾部市,1,81539,16382,139041,64,15818
2015年度,平成27年度,26204,宇治市,3,322547,78446,813607,16,4980
2015年度,平成27年度,26205,宮津市,1,117130,9003,92324,56,31043
2015年度,平成27年度,26206,亀岡市,4,237466,27202,401678,135,28124
2015年度,平成27年度,26207,城陽市,1,304423,37685,457575,65,14313
2015年度,平成27年度,26208,向日市,1,167527,41427,327893,28,1935
2015年度,平成27年度,26209,長岡京市,1,251520,27863,446434,50,11934
2015年度,平成27年度,26210,八幡市,2,243610,37192,592483,68,3465
2015年度,平成27年度,26211,京田辺市,3,340152,72639,857928,55,27526
2015年度,平成27年度,26212,京丹後市,6,274345,16311,323935,141,71059
2015年度,平成27年度,26213,南丹市,4,205265,9259,120015,143,9244
2015年度,平成27年度,26214,木津川市,3,291136,28015,628810,150,22223
2015年度,平成27年度,26303,乙訓郡大山崎町,-,-,-,-,-,-
2015年度,平成27年度,26322,久世郡久御山町,1,139090,14765,96633,23,3569
2015年度,平成27年度,26343,綴喜郡井手町,1,83563,7922,61027,42,4607
2015年度,平成27年度,26344,綴喜郡宇治田原町,1,84187,5576,48255,3,3031
2015年度,平成27年度,26364,相楽郡笠置町,-,-,-,-,-,-
2015年度,平成27年度,26365,相楽郡和束町,-,-,-,-,-,-
2015年度,平成27年度,26366,相楽郡精華町,1,185139,36295,430621,76,24177
2015年度,平成27年度,26367,相楽郡南山城村,-,-,-,-,-,-
2015年度,平成27年度,26407,船井郡京丹波町,-,-,-,-,-,-
2015年度,平成27年度,26463,与謝郡伊根町,-,-,-,-,-,-
2015年度,平成27年度,26465,与謝郡与謝野町,3,115884,8084,127608,39,5957
