西暦,和暦,地域コード,地域,合計(件),有形文化財_建造物_指定(件),有形文化財_建造物_登録(件),有形文化財_美術工芸品_指定(件),有形文化財_美術工芸品_登録(件),有形文化財_美術工芸品_絵画_指定(件),有形文化財_美術工芸品_絵画_登録(件),有形文化財_美術工芸品_彫刻_指定(件),有形文化財_美術工芸品_彫刻_登録(件),有形文化財_美術工芸品_工芸品_指定(件),有形文化財_美術工芸品_工芸品_登録(件),有形文化財_美術工芸品_書跡・典籍_指定(件),有形文化財_美術工芸品_書跡・典籍_登録(件),有形文化財_美術工芸品_古文書_指定(件),有形文化財_美術工芸品_古文書_登録(件),有形文化財_美術工芸品_考古資料_指定(件),有形文化財_美術工芸品_考古資料_登録(件),有形文化財_美術工芸品_歴史資料_指定(件),有形文化財_美術工芸品_歴史資料_登録(件),無形文化財_指定(件),無形文化財_登録(件),民俗文化財_有形_指定(件),民俗文化財_有形_登録(件),民俗文化財_無形_指定(件),民俗文化財_無形_登録(件),史跡_指定(件),史跡_登録(件),名勝_指定(件),名勝_登録(件),天然記念物_指定(件),天然記念物_登録(件),文化財環境保全地区_決定(件),選定保存技術_選定(件),文化的景観_選定(件)
2012年,平成24年,26000,京都府,702,104,83,226,37,55,8,46,8,40,9,14,1,37,8,21,1,13,2,11,-,1,12,18,70,22,-,17,1,15,6,68,2,9
2013年,平成25年,26000,京都府,712,108,84,230,37,56,8,47,8,41,9,14,1,37,8,22,1,13,2,12,-,1,12,18,70,22,-,17,1,15,6,68,2,9
2014年,平成26年,26000,京都府,721,109,86,234,38,58,8,47,9,40,9,14,1,40,8,22,1,13,2,12,-,2,12,18,70,22,-,17,1,15,6,68,2,9
2015年,平成27年,26000,京都府,726,112,86,236,38,59,8,48,9,40,9,14,1,40,8,22,1,13,2,11,-,2,12,18,70,22,-,17,1,15,6,68,2,10
2016年,平成28年,26000,京都府,729,113,86,239,38,60,8,49,9,41,9,14,1,40,8,22,1,13,2,11,-,2,12,18,70,21,-,17,1,15,6,68,2,10
2016年,平成28年,26100,京都市,173,48,8,93,2,29,-,14,1,19,-,6,-,10,-,8,-,7,1,9,-,1,-,1,2,3,-,1,-,2,-,1,2,-
2016年,平成28年,26201,福知山市,46,5,4,14,3,5,-,1,1,2,2,2,-,4,-,-,-,-,-,1,-,1,-,1,6,2,-,-,-,2,-,5,-,2
2016年,平成28年,26202,舞鶴市,40,7,3,11,2,3,-,2,-,2,-,1,-,3,2,-,-,-,-,-,-,-,1,-,11,-,-,2,-,-,-,3,-,-
2016年,平成28年,26203,綾部市,32,7,7,4,2,1,-,-,1,2,-,-,-,-,1,1,-,-,-,1,-,-,-,-,3,-,-,1,-,1,-,5,-,1
2016年,平成28年,26204,宇治市,26,8,3,9,-,-,-,3,-,1,-,-,-,2,-,3,-,-,-,-,-,-,-,1,-,1,-,2,-,-,-,2,-,-
2016年,平成28年,26205,宮津市,38,6,1,17,2,4,-,3,-,2,1,2,-,4,1,1,-,1,-,-,-,-,3,1,2,-,-,3,-,1,-,1,-,1
2016年,平成28年,26206,亀岡市,41,5,6,12,2,2,-,3,-,2,2,-,-,2,-,-,-,3,-,-,-,-,1,1,3,-,-,3,1,-,-,7,-,-
2016年,平成28年,26207,城陽市,12,-,4,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,2,-,-,-,-,-,-,-,-,4,-,-
2016年,平成28年,26208,向日市,5,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1
2016年,平成28年,26209,長岡京市,14,1,1,9,-,2,-,4,-,-,-,-,-,2,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,1,-,-
2016年,平成28年,26210,八幡市,20,5,2,7,-,-,-,2,-,2,-,1,-,2,-,-,-,-,-,-,-,-,-,-,1,1,-,1,-,1,-,2,-,-
2016年,平成28年,26211,京田辺市,19,1,5,4,2,-,-,2,1,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,6,-,-
2016年,平成28年,26212,京丹後市,60,4,5,15,9,3,7,2,-,4,-,-,-,1,1,4,1,1,-,-,-,-,-,3,11,6,-,1,-,1,-,3,-,2
2016年,平成28年,26213,南丹市,45,6,8,6,3,1,-,2,-,1,2,-,1,1,-,1,-,-,-,-,-,-,-,2,10,2,-,-,-,1,-,7,-,-
2016年,平成28年,26214,木津川市,44,2,8,10,5,2,1,4,3,2,1,-,-,1,-,-,-,1,-,-,-,-,3,1,5,1,-,-,-,1,-,8,-,-
2016年,平成28年,26303,乙訓郡大山崎町,3,-,1,2,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2016年,平成28年,26322,久世郡久御山町,4,-,1,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-
2016年,平成28年,26343,綴喜郡井手町,8,1,1,1,1,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2,-,1
2016年,平成28年,26344,綴喜郡宇治田原町,8,1,3,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,2,-,-
2016年,平成28年,26364,相楽郡笠置町,7,-,2,3,-,1,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-
2016年,平成28年,26365,相楽郡和束町,10,-,1,3,-,2,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,1,-,-,-,-,1,-,1,-,1
2016年,平成28年,26366,相楽郡精華町,4,-,1,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-
2016年,平成28年,26367,相楽郡南山城村,7,-,2,1,1,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,1
2016年,平成28年,26407,船井郡京丹波町,23,1,5,8,2,2,-,3,1,-,1,-,-,2,-,1,-,-,-,-,-,-,-,1,3,-,-,-,-,1,-,2,-,-
2016年,平成28年,26463,与謝郡伊根町,12,-,1,4,-,1,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,2,5,-,-,-,-,-,-,-,-,-
2016年,平成28年,26465,与謝郡与謝野町,23,3,2,3,-,1,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,1,3,4,-,2,-,2,-,3,-,-
2016年,平成28年,-,地域定めず,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-
