西暦,和暦,地域コード,地域,美術工芸品_重要文化財(件),美術工芸品_重要文化財_国宝(件),美術工芸品_絵画_重要文化財(件),美術工芸品_絵画_重要文化財_国宝(件),美術工芸品_彫刻_重要文化財(件),美術工芸品_彫刻_重要文化財_国宝(件),美術工芸品_工芸品_重要文化財(件),美術工芸品_工芸品_重要文化財_国宝(件),美術工芸品_書跡・典籍・古文書_重要文化財(件),美術工芸品_書跡・典籍・古文書_重要文化財_国宝(件),美術工芸品_考古資料_重要文化財(件),美術工芸品_考古資料_重要文化財_国宝(件),美術工芸品_歴史資料_重要文化財(件),美術工芸品_歴史資料_重要文化財_国宝(件),建造物_重要文化財(件),建造物_重要文化財_国宝(件)
2012年,平成24年,26000,京都府,1848,179,480,44,414,37,178,15,731,80,27,3,18,-,292,48
2013年,平成25年,26000,京都府,1854,180,484,44,415,37,179,15,729,81,27,3,20,-,292,48
2014年,平成26年,26000,京都府,1862,180,486,44,416,37,180,15,733,81,27,3,20,-,293,48
2015年,平成27年,26000,京都府,1868,181,487,44,417,38,180,15,736,81,27,3,21,-,294,50
2016年,平成28年,26000,京都府,1866,181,483,44,416,38,183,15,736,81,27,3,21,-,296,50
2016年,平成28年,26100,京都市,1658,169,450,42,296,31,167,13,708,80,18,3,19,-,209,42
2016年,平成28年,26201,福知山市,4,-,2,-,1,-,-,-,-,-,1,-,-,-,1,-
2016年,平成28年,26202,舞鶴市,17,1,6,1,10,-,-,-,1,-,-,-,-,-,4,-
2016年,平成28年,26203,綾部市,8,-,2,-,3,-,1,-,2,-,-,-,-,-,3,1
2016年,平成28年,26204,宇治市,34,6,5,1,22,3,4,2,2,-,-,-,1,-,13,3
2016年,平成28年,26205,宮津市,17,1,1,-,6,-,5,-,4,1,1,-,-,-,2,-
2016年,平成28年,26206,亀岡市,14,-,4,-,8,-,-,-,2,-,-,-,-,-,7,-
2016年,平成28年,26207,城陽市,3,-,-,-,2,-,-,-,-,-,1,-,-,-,3,-
2016年,平成28年,26208,向日市,3,-,1,-,-,-,-,-,2,-,-,-,-,-,1,-
2016年,平成28年,26209,長岡京市,6,-,3,-,3,-,-,-,-,-,-,-,-,-,-,-
2016年,平成28年,26210,八幡市,19,-,2,-,10,-,1,-,6,-,-,-,-,-,5,-
2016年,平成28年,26211,京田辺市,5,1,1,-,3,1,-,-,1,-,-,-,-,-,6,-
2016年,平成28年,26212,京丹後市,5,-,-,-,2,-,1,-,-,-,2,-,-,-,2,-
2016年,平成28年,26213,南丹市,2,-,-,-,1,-,-,-,-,-,1,-,-,-,6,-
2016年,平成28年,26214,木津川市,32,3,3,-,26,3,1,-,2,-,-,-,-,-,19,3
2016年,平成28年,26303,乙訓郡大山崎町,9,-,1,-,7,-,-,-,1,-,-,-,-,-,3,1
2016年,平成28年,26322,久世郡久御山町,1,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-
2016年,平成28年,26343,綴喜郡井手町,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2016年,平成28年,26344,綴喜郡宇治田原町,8,-,-,-,6,-,-,-,2,-,-,-,-,-,-,-
2016年,平成28年,26364,相楽郡笠置町,5,-,-,-,3,-,1,-,1,-,-,-,-,-,1,-
2016年,平成28年,26365,相楽郡和束町,3,-,-,-,2,-,-,-,-,-,1,-,-,-,3,-
2016年,平成28年,26366,相楽郡精華町,2,-,-,-,2,-,-,-,-,-,-,-,-,-,2,-
2016年,平成28年,26367,相楽郡南山城村,2,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-
2016年,平成28年,26407,船井郡京丹波町,2,-,-,-,-,-,-,-,2,-,-,-,-,-,5,-
2016年,平成28年,26463,与謝郡伊根町,2,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-
2016年,平成28年,26465,与謝郡与謝野町,5,-,-,-,1,-,1,-,-,-,2,-,1,-,-,-
