西暦,和暦,地域コード,地域,総数(法人),神道(法人),神道_神社神道(法人),神道_教派神道(法人),仏教(法人),仏教_被包括(法人),仏教_単立(法人),基督教(法人),諸教(法人)
2012年,平成24年,26000,京都府,5587,1902,1710,192,3060,2920,138,129,496
2013年,平成25年,26000,京都府,5578,1899,1708,191,3059,2919,138,129,491
2014年,平成26年,26000,京都府,5576,1899,1708,191,3057,2917,138,130,490
2015年,平成27年,26000,京都府,5570,1897,1708,189,3054,2913,139,132,487
2016年,平成28年,26000,京都府,5566,1894,1707,187,3053,2912,139,135,484
2016年,平成28年,26100,京都市,2401,398,301,97,1668,1574,94,91,244
2016年,平成28年,26101,京都市北区,195,39,25,14,115,108,7,14,27
2016年,平成28年,26102,京都市上京区,284,31,19,12,221,213,8,12,20
2016年,平成28年,26103,京都市左京区,371,62,51,11,256,241,15,21,32
2016年,平成28年,26104,京都市中京区,155,22,13,9,98,89,9,7,28
2016年,平成28年,26105,京都市東山区,204,23,17,6,164,161,3,2,15
2016年,平成28年,26110,京都市山科区,97,22,19,3,62,59,3,3,10
2016年,平成28年,26106,京都市下京区,231,33,22,11,181,176,5,3,14
2016年,平成28年,26107,京都市南区,111,16,13,3,70,64,6,7,18
2016年,平成28年,26108,京都市右京区,327,63,54,9,222,209,13,8,34
2016年,平成28年,26111,京都市西京区,136,34,31,3,87,73,14,2,13
2016年,平成28年,26109,京都市伏見区,290,53,37,16,192,181,11,12,33
2016年,平成28年,26201,福知山市,370,219,176,43,119,117,2,4,28
2016年,平成28年,26202,舞鶴市,328,178,169,9,113,107,6,6,31
2016年,平成28年,26203,綾部市,195,97,94,3,83,83,-,3,12
2016年,平成28年,26204,宇治市,141,33,30,3,79,73,6,7,22
2016年,平成28年,26205,宮津市,184,105,104,1,63,59,4,2,14
2016年,平成28年,26206,亀岡市,265,108,101,7,143,139,4,3,11
2016年,平成28年,26207,城陽市,55,14,12,2,26,24,2,1,14
2016年,平成28年,26208,向日市,26,2,1,1,21,20,1,2,1
2016年,平成28年,26209,長岡京市,48,9,9,-,30,27,3,3,6
2016年,平成28年,26210,八幡市,76,18,17,1,51,48,3,3,4
2016年,平成28年,26211,京田辺市,92,27,25,2,50,48,2,4,11
2016年,平成28年,26212,京丹後市,446,272,270,2,143,141,2,3,28
2016年,平成28年,26213,南丹市,290,127,121,6,154,152,2,-,9
2016年,平成28年,26214,木津川市,130,53,48,5,63,62,1,1,13
2016年,平成28年,26303,乙訓郡大山崎町,16,3,3,-,11,9,2,-,2
2016年,平成28年,26322,久世郡久御山町,37,9,9,-,25,23,2,-,3
2016年,平成28年,26343,綴喜郡井手町,20,2,2,-,15,15,-,-,3
2016年,平成28年,26344,綴喜郡宇治田原町,36,15,14,1,17,17,-,-,4
2016年,平成28年,26364,相楽郡笠置町,17,9,9,-,7,7,-,-,1
2016年,平成28年,26365,相楽郡和束町,43,14,13,1,25,25,-,-,4
2016年,平成28年,26366,相楽郡精華町,40,12,12,-,23,23,-,-,5
2016年,平成28年,26367,相楽郡南山城村,18,8,7,1,7,6,1,-,3
2016年,平成28年,26407,船井郡京丹波町,138,66,65,1,66,66,-,-,6
2016年,平成28年,26463,与謝郡伊根町,58,38,38,-,18,18,-,-,2
2016年,平成28年,26465,与謝郡与謝野町,94,58,57,1,31,29,2,2,3
