西暦,和暦,地域コード,地域,放送受信契約数(件),衛星契約数(再掲)(件)
2011年度,平成23年度,26000,京都府,813238,321198
2012年度,平成24年度,26000,京都府,824313,340284
2013年度,平成25年度,26000,京都府,835127,357781
2014年度,平成26年度,26000,京都府,844482,373927
2015年度,平成27年度,26000,京都府,855573,388893
2015年度,平成27年度,26100,京都市,497402,230846
2015年度,平成27年度,26101,京都市北区,42239,20325
2015年度,平成27年度,26102,京都市上京区,33441,15957
2015年度,平成27年度,26103,京都市左京区,58182,30823
2015年度,平成27年度,26104,京都市中京区,42581,22352
2015年度,平成27年度,26105,京都市東山区,15517,6959
2015年度,平成27年度,26110,京都市山科区,41125,17534
2015年度,平成27年度,26106,京都市下京区,35128,19328
2015年度,平成27年度,26107,京都市南区,33407,15189
2015年度,平成27年度,26108,京都市右京区,66383,28091
2015年度,平成27年度,26111,京都市西京区,44128,18020
2015年度,平成27年度,26109,京都市伏見区,85271,36268
2015年度,平成27年度,26201,福知山市,27123,9846
2015年度,平成27年度,26202,舞鶴市,31713,12553
2015年度,平成27年度,26203,綾部市,12485,4618
2015年度,平成27年度,26204,宇治市,55416,25906
2015年度,平成27年度,26205,宮津市,8298,3488
2015年度,平成27年度,26206,亀岡市,26403,11318
2015年度,平成27年度,26207,城陽市,23634,10734
2015年度,平成27年度,26208,向日市,16038,6798
2015年度,平成27年度,26209,長岡京市,24381,11774
2015年度,平成27年度,26210,八幡市,19039,8227
2015年度,平成27年度,26211,京田辺市,21342,10345
2015年度,平成27年度,26212,京丹後市,21312,7934
2015年度,平成27年度,26213,南丹市,11926,5066
2015年度,平成27年度,26214,木津川市,19197,9945
2015年度,平成27年度,26303,乙訓郡大山崎町,4617,2144
2015年度,平成27年度,26322,久世郡久御山町,4558,1911
2015年度,平成27年度,26343,綴喜郡井手町,2028,834
2015年度,平成27年度,26344,綴喜郡宇治田原町,2435,1304
2015年度,平成27年度,26364,相楽郡笠置町,418,182
2015年度,平成27年度,26365,相楽郡和束町,1177,303
2015年度,平成27年度,26366,相楽郡精華町,10017,6015
2015年度,平成27年度,26367,相楽郡南山城村,941,692
2015年度,平成27年度,26407,船井郡京丹波町,5039,2401
2015年度,平成27年度,26463,与謝郡伊根町,1039,500
2015年度,平成27年度,26465,与謝郡与謝野町,7595,3209
