西暦,和暦,項目,利用者数(人)
2011年度,平成23年度,合計,247114
2012年度,平成24年度,合計,116754
2013年度,平成25年度,合計,221648
2014年度,平成26年度,合計,274780
2015年度,平成27年度,合計,319496
2015年度,平成27年度,アマチュアスポーツ,210990
2015年度,平成27年度,アマチュアスポーツ_バレーボール,57339
2015年度,平成27年度,アマチュアスポーツ_テニス,2970
2015年度,平成27年度,アマチュアスポーツ_卓球,33938
2015年度,平成27年度,アマチュアスポーツ_バドミントン,30143
2015年度,平成27年度,アマチュアスポーツ_バスケットボール,20074
2015年度,平成27年度,アマチュアスポーツ_教室・講習会,150
2015年度,平成27年度,アマチュアスポーツ_その他スポーツ,66376
2015年度,平成27年度,催物,-
2015年度,平成27年度,営利事業,29927
2015年度,平成27年度,自主事業,17489
2015年度,平成27年度,会議室,7340
2015年度,平成27年度,トレーニングルーム,41423
2015年度,平成27年度,トレーニング教室等,12327
