西暦,和暦,地域コード,地域,総数_箇所(箇所),総数_面積(ha),街区公園_箇所(箇所),街区公園_面積(ha),近隣公園_箇所(箇所),近隣公園_面積(ha),地区公園_箇所(箇所),地区公園_面積(ha),総合公園_箇所(箇所),総合公園_面積(ha),運動公園_箇所(箇所),運動公園_面積(ha),風致公園_箇所(箇所),風致公園_面積(ha),その他の公園_箇所(箇所),その他の公園_面積(ha),都市計画区域内人口(千人),1人当たり面積(m2/人)
2011年度,平成23年度,26000,京都府,2274,1814.2,1960,245.2,77,142,25,118.7,21,288.9,21,193.9,22,139.6,148,686,2510,7.23
2012年度,平成24年度,26000,京都府,2300,1839.4,1983,247.4,77,142.3,25,120.9,21,291.7,21,193.9,22,139.6,151,703.6,2506,7.34
2013年度,平成25年度,26000,京都府,2303,1874.3,1981,249.3,80,144.4,25,121.3,22,309.8,22,204.8,22,139.6,151,705.2,2505,7.48
2014年度,平成26年度,26000,京都府,2329,1890.8,2004,253.2,81,145.6,26,129.9,22,309.7,22,204.7,22,139.6,152,708.1,2509,7.54
2015年度,平成27年度,26000,京都府,2350,1926.7,2012,254.3,82,147.9,26,129.9,23,310.7,22,205.9,22,139.6,163,738.4,2512,7.67
2015年度,平成27年度,26100,京都市,911,640.4,822,111.2,33,58.1,7,38.6,4,48.8,10,83.9,4,20.8,31,279.1,1466,4.37
2015年度,平成27年度,26201,福知山市,93,182.2,74,16.5,6,8.3,-,-,2,70.5,1,21.1,2,15.3,8,50.4,66,27.61
2015年度,平成27年度,26202,舞鶴市,38,125.3,22,7.2,3,4.6,2,8.2,4,40.6,-,-,6,60.5,1,4.2,83,15.10
2015年度,平成27年度,26203,綾部市,44,63.5,29,3.3,-,-,1,3.1,1,12.0,2,28.6,6,8.9,5,7.5,32,19.84
2015年度,平成27年度,26204,宇治市,184,143.7,151,15.1,1,0.9,3,14.0,1,10.2,-,-,2,5.6,26,97.9,189,7.60
2015年度,平成27年度,26205,宮津市,16,205.5,6,1.1,5,7.8,2,13.5,-,-,1,15.0,1,25.1,1,143.0,20,102.73
2015年度,平成27年度,26206,亀岡市,35,63.5,23,6.1,2,1.5,-,-,3,39.1,1,15.9,-,-,6,0.9,83,7.66
2015年度,平成27年度,26207,城陽市,203,45.9,192,9.5,1,3.3,-,-,-,-,2,26.9,-,-,8,6.2,78,5.88
2015年度,平成27年度,26208,向日市,43,6.0,40,5.4,-,-,-,-,-,-,-,-,-,-,3,0.6,55,1.09
2015年度,平成27年度,26209,長岡京市,265,21.8,237,10.2,2,2.6,1,4.0,2,4.3,-,-,-,-,23,0.8,80,2.73
2015年度,平成27年度,26210,八幡市,93,52.7,79,10.3,6,14.4,1,5.7,-,-,3,7.3,-,-,4,15.0,72,7.32
2015年度,平成27年度,26211,京田辺市,161,42.0,152,15.9,4,5.7,-,-,1,10.4,1,4.0,-,-,3,6.0,67,6.26
2015年度,平成27年度,26212,京丹後市,6,39.6,-,-,-,-,1,7.6,2,14.5,-,-,-,-,3,17.5,26,15.23
2015年度,平成27年度,26213,南丹市,24,37.3,19,6.6,2,4.7,1,1.8,1,19.0,-,-,-,-,1,5.2,22,16.97
2015年度,平成27年度,26214,木津川市,133,75.7,84,14.5,10,18.9,4,21.0,-,-,-,-,-,-,35,21.2,74,10.23
2015年度,平成27年度,26303,大山崎町,23,17.2,22,2.4,-,-,-,-,-,-,1,3.2,-,-,-,11.5,15,11.45
2015年度,平成27年度,26322,久御山町,13,6.1,12,3.6,1,2.5,-,-,-,-,-,-,-,-,-,-,16,3.84
2015年度,平成27年度,26343,井手町,16,20.9,15,3.7,-,-,-,-,1,17.2,-,-,-,-,-,-,8,26.13
2015年度,平成27年度,26344,宇治田原町,6,5.5,5,2.7,-,-,1,2.8,-,-,-,-,-,-,-,-,9,6.09
2015年度,平成27年度,26366,精華町,29,56.1,20,6.5,5,11.8,-,-,1,24.1,-,-,-,-,3,13.7,38,14.75
2015年度,平成27年度,26407,京丹波町,3,56.7,1,0.7,1,2.8,-,-,-,-,-,-,-,-,1,53.2,7,80.94
2015年度,平成27年度,26465,与謝野町,11,19.2,7,1.7,-,-,2,9.6,-,-,-,-,1,3.4,1,4.5,6,31.95
