年齢階級,種別,性別,標本数,10歳以上推定人口(千人),1次活動_総数(分),1次活動_睡眠(分),1次活動_身の回りの用事(分),1次活動_食事(分),2次活動_総数(分),2次活動_通勤・通学(分),2次活動_仕事(分),2次活動_学業(分),2次活動_家事(分),2次活動_介護・看護(分),2次活動_育児(分),2次活動_買い物(分),3次活動_総数(分),3次活動_移動(通勤・通学を除く)(分),3次活動_テレビ・ラジオ・新聞・雑誌(分),3次活動_休養・くつろぎ(分),3次活動_学習・自己啓発・訓練(学業以外)(分),3次活動_趣味・娯楽(分),3次活動_スポーツ(分),3次活動_ボランティア活動・社会参加活動(分),3次活動_交際・付き合い(分),3次活動_受診・療養(分),3次活動_その他(分)
総数,総数,男女計,6644,2359,644,464,80,100,412,31,209,41,87,4,14,26,384,28,144,92,14,45,14,4,21,8,16
10〜14歳,総数,男女計,371,117,668,511,64,92,383,34,-,335,4,0,0,10,389,20,109,101,40,37,50,1,18,2,10
15〜24歳,総数,男女計,699,290,637,475,75,87,381,57,110,190,9,0,1,14,422,27,98,115,32,82,20,2,30,2,14
25〜34歳,総数,男女計,670,309,630,459,78,93,510,44,333,8,59,1,39,28,300,34,80,73,16,45,5,2,25,2,17
35〜44歳,総数,男女計,973,382,607,439,77,92,548,38,323,1,116,4,41,26,285,27,96,82,7,30,6,6,14,4,13
45〜54歳,総数,男女計,941,299,599,421,84,94,524,40,324,1,120,4,6,30,316,27,122,88,7,29,10,3,12,7,12
55〜64歳,総数,男女計,1202,379,635,449,80,106,419,27,235,0,118,5,4,31,386,34,166,73,12,42,13,5,20,5,16
65〜74歳,総数,男女計,978,312,675,470,86,118,284,8,111,0,115,10,7,34,481,29,213,87,6,51,19,10,26,17,24
75歳以上,総数,男女計,810,271,736,534,85,117,166,2,55,0,83,2,0,24,538,18,261,135,9,41,10,2,21,23,18
総数,総数,男,3079,1129,635,471,67,97,410,41,287,43,17,2,4,16,395,27,146,94,16,53,18,4,18,5,14
10〜14歳,総数,男,165,60,662,511,58,93,369,34,-,325,2,-,-,8,409,21,98,111,41,39,63,2,25,1,9
15〜24歳,総数,男,356,148,638,487,62,89,355,57,93,185,6,0,1,12,447,22,92,116,35,108,31,4,24,1,17
25〜34歳,総数,男,305,153,607,454,65,88,523,59,426,11,8,-,7,14,310,37,62,79,23,62,8,2,23,1,13
35〜44歳,総数,男,460,188,595,446,66,83,539,51,452,1,10,0,9,16,306,27,106,92,8,35,8,6,12,2,10
45〜54歳,総数,男,438,146,606,444,69,93,538,58,446,1,10,0,5,17,297,26,115,79,5,33,13,2,11,5,8
55〜64歳,総数,男,560,181,630,461,67,103,420,41,335,-,22,3,1,19,390,30,172,77,11,50,14,4,16,4,13
65〜74歳,総数,男,471,146,671,482,74,116,239,12,165,0,31,5,2,22,530,28,256,103,6,45,21,8,24,15,26
75歳以上,総数,男,324,106,722,539,68,116,160,1,91,0,44,4,0,19,558,20,293,119,16,45,18,2,17,12,16
総数,有業者,男,2055,776,617,457,67,93,501,50,413,8,10,0,5,15,322,28,113,86,8,41,10,5,19,4,9
15〜24歳,有業者,男,128,60,643,491,71,82,398,62,229,83,3,1,4,17,399,22,74,120,25,113,4,8,29,2,3
25〜34歳,有業者,男,281,137,604,451,64,89,566,59,474,6,6,-,8,12,271,33,57,75,12,53,8,3,25,1,4
35〜44歳,有業者,男,422,179,590,442,66,82,557,53,468,1,10,0,10,16,293,28,96,92,5,33,9,6,13,2,9
45〜54歳,有業者,男,428,144,605,444,69,92,545,59,454,1,9,0,5,16,290,26,109,79,5,32,13,2,11,5,7
