項目,生活行動の種類等,総数_計(千人),総数_10〜14歳(千人),総数_15〜24歳(千人),総数_25〜34歳(千人),総数_35〜44歳(千人),総数_45〜54歳(千人),総数_55〜64歳(千人),総数_65〜74歳(千人),総数_75歳以上(千人),男_計(千人),男_10〜14歳(千人),男_15〜24歳(千人),男_25〜34歳(千人),男_35〜44歳(千人),男_45〜54歳(千人),男_55〜64歳(千人),男_65〜74歳(千人),男_75歳以上(千人),女_計(千人),女_10〜14歳(千人),女_15〜24歳(千人),女_25〜34歳(千人),女_35〜44歳(千人),女_45〜54歳(千人),女_55〜64歳(千人),女_65〜74歳(千人),女_75歳以上(千人)
10歳以上推定人口,-,2359,117,290,309,382,299,379,312,271,1129,60,148,153,188,146,181,146,106,1229,58,142,156,193,153,198,166,164
旅行・行楽,合計,1748,101,211,261,300,234,277,219,145,814,52,95,125,141,115,128,98,61,934,48,116,137,159,119,150,121,84
旅行・行楽,行楽（日帰り）,1380,72,158,235,263,180,215,162,96,619,37,64,111,121,86,94,71,35,761,35,94,123,141,94,121,91,62
旅行・行楽,旅行（1泊2日以上）,1440,82,189,215,246,194,230,178,104,675,44,82,97,120,96,110,78,48,765,38,107,118,127,99,120,100,56
旅行・行楽,旅行_国内旅行,1415,81,183,211,241,193,226,175,104,663,44,79,94,119,95,108,76,48,752,38,104,117,122,99,117,99,56
旅行・行楽,旅行_国内旅行_観光旅行,1127,67,148,168,188,139,179,148,90,519,35,64,77,91,62,83,67,41,608,32,84,91,97,77,96,81,49
旅行・行楽,旅行_国内旅行_帰省・訪問などの旅行,595,36,68,103,121,89,91,66,20,264,21,32,45,55,38,43,23,7,331,15,36,59,66,52,48,43,13
旅行・行楽,旅行_国内旅行_業務出張・研修・その他,276,10,39,50,57,54,43,19,5,192,6,13,29,50,43,37,11,3,85,5,26,20,7,10,6,8,3
旅行・行楽,旅行_海外旅行,238,7,29,42,39,27,50,34,10,109,4,13,16,18,18,24,13,3,129,3,16,27,20,9,26,20,7
旅行・行楽,旅行_海外旅行_観光旅行,195,7,24,38,29,16,40,32,8,73,4,9,13,9,7,17,12,3,122,3,16,24,20,9,24,20,6
旅行・行楽,旅行_海外旅行_業務出張・研修・その他,60,0,6,8,15,12,13,4,3,48,-,6,5,13,12,10,3,0,12,0,-,3,2,0,2,1,2
旅行・行楽,行動者率（%）,74.1,85.6,72.8,84.6,78.7,78.2,73.2,70,53.6,72.1,87.1,63.9,81.6,74.9,78.4,70.5,66.9,57.6,76,84,82.2,87.5,82.4,78,75.6,72.7,51
スポーツ,合計,1492,106,200,205,247,203,232,191,110,771,57,108,105,127,110,117,94,54,721,49,92,99,120,93,115,97,56
スポーツ,ウォーキング・軽い体操,802,25,58,108,120,112,156,141,82,342,10,22,44,52,44,70,61,38,460,15,36,64,68,68,85,80,45
スポーツ,ボウリング,314,27,74,52,64,45,31,20,1,173,18,39,27,31,30,15,12,1,141,9,35,24,34,16,15,8,-
スポーツ,水泳,280,50,34,50,53,29,32,23,9,141,28,21,20,28,16,14,9,5,139,22,13,30,25,13,18,14,4
スポーツ,登山・ハイキング,233,12,18,31,37,33,57,35,11,117,9,10,16,15,16,28,16,7,117,3,9,15,22,17,28,19,4
スポーツ,ジョギング・マラソン,227,34,54,54,39,20,12,10,3,154,19,36,37,27,16,11,6,3,73,15,18,18,12,4,1,4,-
スポーツ,器具を使ったトレーニング,221,9,37,46,35,32,38,20,6,117,4,23,24,23,19,14,8,2,104,5,14,22,12,13,24,12,4
スポーツ,サイクリング,215,17,29,28,45,33,29,29,5,116,8,13,16,24,20,14,17,5,98,9,16,12,21,13,15,12,0
スポーツ,野球（キャッチボールを含む）,172,36,46,28,35,16,6,5,0,144,31,36,23,30,14,5,4,0,29,5,10,5,5,2,1,1,-
スポーツ,つり,166,19,22,27,39,19,18,18,4,129,13,15,17,32,18,16,15,4,37,6,6,10,7,2,3,3,-
スポーツ,ゴルフ(練習場を含む),153,3,7,23,38,28,25,24,4,126,2,5,16,33,25,22,20,3,27,2,3,7,5,3,3,4,1
スポーツ,行動者率（%）,63.3,90.2,68.9,66.2,64.8,67.8,61.3,61,40.5,68.3,94.9,72.5,68.8,67.4,75.2,64.7,64.5,50.3,58.7,85.3,65.1,63.7,62.3,60.6,58.2,58,34.2
ボランティア,合計,548,23,44,43,118,97,98,86,40,240,10,19,22,42,45,43,43,17,308,14,25,21,76,51,55,43,22
ボランティア,まちづくりのための活動,223,13,11,15,40,40,43,40,20,106,6,8,8,18,20,19,21,7,116,7,4,7,22,20,24,20,12
ボランティア,子供を対象とした活動,184,6,14,12,73,35,23,17,5,56,2,6,7,13,13,5,6,4,128,4,8,5,59,22,18,10,1
ボランティア,安全な生活のための活動,96,1,3,3,20,20,21,23,4,54,1,1,3,12,11,11,12,3,41,0,1,1,8,9,10,11,1
ボランティア,自然や環境を守るための活動,83,7,5,9,12,13,21,13,3,38,3,2,6,4,7,8,7,1,44,4,3,3,7,7,12,7,1
ボランティア,スポーツ・文化・芸術・学術に関係した活動,81,2,14,2,13,13,17,14,6,44,1,6,1,9,7,8,9,3,38,1,9,1,4,6,10,5,2
ボランティア,災害に関係した活動,76,3,6,10,17,11,15,8,6,32,1,2,4,7,6,6,5,2,44,1,4,6,10,6,9,3,4
ボランティア,高齢者を対象とした活動,74,2,4,3,3,7,20,26,8,21,1,0,1,-,2,5,9,3,53,1,4,2,3,5,15,18,5
ボランティア,健康や医療サービスに関係した活動,62,-,5,7,11,12,15,8,4,25,-,3,3,7,6,4,1,1,37,-,3,4,4,6,11,7,2
ボランティア,障害者を対象とした活動,39,0,7,2,4,8,10,7,1,14,0,1,2,2,3,3,2,-,25,-,6,-,2,5,7,4,1
ボランティア,国際協力に関係した活動,17,1,3,-,2,1,3,5,2,9,-,1,-,2,1,1,3,2,8,1,2,-,1,1,2,2,-
ボランティア,行動者率（%）,23.2,19.8,15,13.8,31,32.4,25.8,27.6,14.6,21.3,15.9,12.8,14.2,22.3,31,23.6,29.4,16.1,25,23.8,17.4,13.5,39.5,33.6,27.9,26,13.7
学習・自己啓発・訓練,合計,895,54,133,120,145,117,160,101,65,409,20,61,64,69,56,71,42,26,486,34,72,56,76,61,89,60,38
学習・自己啓発・訓練,商業実務・ビジネス関係,410,12,63,65,73,60,78,40,19,245,5,30,46,42,36,47,27,12,166,8,32,20,30,24,31,14,7
学習・自己啓発・訓練,芸術・文化,302,24,34,23,39,39,68,43,32,105,7,8,10,13,12,26,17,12,197,17,26,13,25,27,42,26,21
学習・自己啓発・訓練,外国語,267,35,75,31,40,30,30,16,11,136,15,43,19,20,14,12,7,6,131,20,32,12,20,16,18,9,5
学習・自己啓発・訓練,家政・家事（料理・裁縫・家庭経営など）,218,10,28,25,30,28,40,37,21,44,2,9,9,2,5,9,6,2,174,7,20,15,28,23,31,31,20
学習・自己啓発・訓練,人文・社会・自然科学（歴史・経済・数学・生物など）,195,11,34,25,25,26,39,16,19,128,7,22,19,16,16,23,12,11,68,4,12,5,9,10,16,3,8
学習・自己啓発・訓練,介護関係,88,-,9,12,11,12,25,16,3,29,-,5,5,4,2,7,5,2,60,-,5,7,7,11,19,10,1
学習・自己啓発・訓練,行動者率（%）,37.9,45.7,45.8,38.9,38,39.2,42.1,32.5,23.9,36.2,33.6,41.3,41.8,36.5,38.3,39.1,28.7,24.6,39.5,58.4,50.5,36,39.6,40.1,44.9,35.8,23.4
趣味・娯楽,合計,2002,110,265,283,328,268,320,248,180,940,57,131,133,157,130,150,110,72,1061,53,134,150,171,138,169,138,108
趣味・娯楽,CD・テープ・レコードなどによる音楽鑑賞,1141,65,201,214,229,168,150,79,34,512,27,87,101,100,79,70,36,12,629,38,114,113,129,89,80,42,23
趣味・娯楽,趣味としての読書,938,57,124,138,159,138,149,107,65,389,22,60,57,68,57,60,40,26,549,35,64,81,92,81,89,67,39
趣味・娯楽,DVD・ビデオなどによる映画鑑賞(テレビからの録画は除く),924,55,167,192,198,122,107,52,29,410,26,70,81,96,55,47,27,9,514,30,97,112,102,67,60,25,21
