施設の種類,2002年(施設),2005年(施設),2008年(施設),2011年(施設)
総数,669,688,666,636
陸上競技場,11,12,13,12
野球場・ソフトボール場,70,89,70,68
球技場,15,17,23,19
多目的運動広場,112,99,114,122
水泳プール（屋内）,18,18,21,25
水泳プール（屋外）,49,41,39,41
レジャープール,5,9,9,8
ダイビングプール,1,1,1,1
体育館,82,80,85,86
柔道場,10,9,9,10
剣道場,7,6,7,7
柔剣道場,7,5,5,7
バレーボール場(屋外),1,1,1,1
庭球場（屋外）,92,90,85,82
庭球場（屋内）,1,-,2,-
すもう場（屋外）,1,1,-,2
すもう場（屋内）,1,1,-,-
弓道場,9,8,8,8
アーチェリー場            ,3,4,4,3
アイススケート場（屋内）,-,1,1,1
山の家,3,2,-,-
トレーニング場,28,27,31,26
ダンス場,2,3,3,3
射撃場,5,4,1,1
漕艇場,1,1,1,1
ゲートボール・クロッケー場,30,29,26,21
スカッシュ・ラケットボール場,1,1,1,1
ヨット場,1,1,1,1
スキー・スノーボード場,3,2,1,1
キャンプ場,44,45,35,35
ハイキングコース,12,13,13,13
サイクリングコース,2,3,-,-
オリエンテーリングコース,1,1,1,1
ランニングコース,5,5,1,2
冒険遊具コース,7,12,5,5
海の家・海水浴場等の施設,18,20,20,3
その他,11,27,29,19
