西暦,和暦,月等,開催回数(回),開催日数(日),入場人員_総数(人),入場人員_1日平均(人),車券発売金額_総数(千円),車券発売金額_1日平均(千円)
2011年度,平成23年度,年度次,12,58,120060,2070,11323084,195226
2012年度,平成24年度,年度次,12,58,115534,1992,10471179,180537
2013年度,平成25年度,年度次,12,55,99761,1814,11512373,209316
2014年度,平成26年度,年度次,12,52,90684,1744,11648736,224014
2015年度,平成27年度,年度次,13,49,78518,1602,14635045,298674
2015年度,平成27年度,4月,1,3,5681,1893,130990,43663
2015年度,平成27年度,5月,1,3,4477,1492,663750,221250
2015年度,平成27年度,6月,1,3,3726,1242,59269,19756
2015年度,平成27年度,7月,1,3,4876,1625,965830,321943
2015年度,平成27年度,8月,0.5,3,4051,1350,70980,23660
2015年度,平成27年度,9月,1.5,6,7866,1311,725135,120855
2015年度,平成27年度,10月,1.5,7,16575,2367,5870976,838710
2015年度,平成27年度,11月,1,6,8126,1354,579639,96065
2015年度,平成27年度,12月,0.5,3,4140,1380,107819,35939
2015年度,平成27年度,1月,1,3,4081,1360,984101,328033
2015年度,平成27年度,2月,2,6,10126,1687,4396907,732817
2015年度,平成27年度,3月,1,3,4793,1597,79649,26549
